,name,state,linkedin_industry,website_url,check_robots
2065,Unstoppable Finance,Berlin,Finance & Insurance,https://www.unstoppable.fi/,True
2066,Flixcheck,Nordrhein-Westfalen,IT and Communications,http://flixcheck.de/,True
2067,Algo-Camp,Berlin,Finance & Insurance,https://www.algo-camp.de/,True
2068,Mädchenflohmarkt,Baden-Württemberg,Textiles,https://www.maedchenflohmarkt.de/,False
2069,ifesca,Thüringen,IT and Communications,http://www.ifesca.de,True
2070,Cyntegrity,Hessen,Life Science & Healthcare,https://cyntegrity.com/,False
2071,Mymy Catering,Berlin,Nutrition & Consumables,https://www.mymycatering.com/de-de/,True
2072,Flyless Travel,Sachsen,Tourism,https://flyless-travel.com/,True
2073,Konfetti,Berlin,Education,http://gokonfetti.com/,True
2074,Inzmo,Berlin,Finance & Insurance,https://inzmo.com/de/,True
2075,Fosera Solarsystems,Baden-Württemberg,Energy & Electricity,https://www.fosera.com,True
2076,deepsight,Niedersachsen,IT and Communications,http://deepsight.de/,True
2077,Gebraucht-Notebook.de,Nordrhein-Westfalen,IT and Communications,https://gebraucht-notebook.de/,True
2078,Centrifuge,Berlin,Finance & Insurance,http://www.centrifuge.io/,False
2079,Meravando,Nordrhein-Westfalen,Tourism,https://www.meravando.de/,False
2080,led lights.blog,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://ledlights.blog/,True
2081,Voltaro,Bayern,Energy & Electricity,http://www.voltaro.de,False
2082,RoadJet,Baden-Württemberg,Tourism,https://www.roadjet.de/,True
2083,expectare,Berlin,IT and Communications,http://expectare.com/,True
2084,JobSwop.io,Sachsen,Human Resources,https://jobswop.io/,True
2085,CHARTMOGUL,Berlin,IT and Communications,https://chartmogul.com/,True
2086,Werk24,Bayern,Industrial & Basic Materials,http://werk24.io/,True
2087,Verve Group Europe,Berlin,IT and Communications,https://pubnative.net/,False
2088,Leen,Baden-Württemberg,Energy & Electricity,http://leenize.com/,False
2089,nextnano,Bayern,IT and Communications,https://www.nextnano.com,True
2090,Beyond Emotion,Hamburg,IT and Communications,https://www.beyond-emotion.de/,True
2091,TolerogenixX,Baden-Württemberg,Life Science & Healthcare,http://www.tolerogenixx.com,True
2092,Just Juno,Berlin,Sports & Amusement/Gaming incl. Online,https://www.justjuno.co,False
2093,ShopCockpit,Thüringen,IT and Communications,http://www.shopcockpit.com,True
2094,B2X Care Solutions,Bayern,"Automotive, Logistics & Mobility",https://b2x.com/,True
2095,The Performance Network Group,Hamburg,IT and Communications,http://tpng.de/,True
2096,RYSKEX,Berlin,Finance & Insurance,https://ryskex.com,True
